country,Electiondate,ev_count,EventViolence,ActorNameNew,Actor1Name,Actor1Type,TargetNameNew,Target1Name,Target1Type
Algeria,1995-11-16T00:00:00Z,0,0,Military,Military,1,Civilians,Fundamentalist,2
Algeria,1991-12-26T00:00:00Z,0,0,Police,Police,1,Civilians,Fundamentalists,2
Algeria,1995-11-16T00:00:00Z,2,1,Military,Army,1,Islamic Insurgents,Fundamentalists,4
Serbia,2003-12-28T00:00:00Z,0,0,Civilians,Albanians,2,Government,government,1
Azerbaijan,1993-10-03T00:00:00Z,0,0,Students,students supporting president Albufaz Elcibey,2,Rebel Group,rebels headed by Huseynov,3
Chad,2006-05-03T00:00:00Z,1,1,Military,Security forces,1,Rebel Group,SCUD,4
Algeria,1991-12-26T00:00:00Z,0,0,Police,Police,1,Militant Group,FIS militants,3
Algeria,1997-06-05T00:00:00Z,1,1,Military,Security forces,1,Islamic Insurgents,Fundamentalists,4
Algeria,1991-12-26T00:00:00Z,0,0,Police,Police,1,Civilians,Imam,2
Bulgaria,1997-04-19T00:00:00Z,0,0,Media,Bulgarian national radio & television,5,Event,state censorship,1
Peru,2006-06-04T00:00:00Z,1,1,Party Supporters,Supporters of Ollanta Humala (candidate),2,Political Candidate,Alan Garcia (candidate),1
Algeria,1991-12-26T00:00:00Z,0,0,Government ,Courts,1,Party Leaders,FIS leaders,3
Algeria,1991-12-26T00:00:00Z,0,0,Police,Police,1,Political Party,Islamic Labor Union,3
Venezuela,2006-12-03T00:00:00Z,0,0,Opposition Supporters,Chavez opponents,2,Government Leader,Chavez,1
Algeria,1991-12-26T00:00:00Z,0,0,Police,Police,1,Civilians,Islamic radicals,2
Kazakhstan,2011-04-03T00:00:00Z,1,1,Unknown,Unknown,2,Political Party,Alga party,3
Albania,1996-06-16T00:00:00Z,0,0,Political Party,Socialist Party,3,Government,Government,1
Algeria,2009-04-09T00:00:00Z,0,0,Police,Police,1,Media,Moroccan journalists,5
Algeria,1991-12-26T00:00:00Z,0,0,Police,Police,1,Civilians,Moslem fundamentalists,2
Nepal,1994-11-15T00:00:00Z,0,0,Opposition Party,almost the entire opposition,3,Government,Koirala ministry,1
Madagascar,1996-11-03T00:00:00Z,0,0,Civilians,Albert Zafy,2,Opposition Supporters,Opposition,2
Afghanistan,2010-09-18T00:00:00Z,21,1,Iraqi Insurgents,Insurgents,4,Police,Police,1
Algeria,1995-11-16T00:00:00Z,1,1,Police,Police,1,Islamic Insurgents,Islamic extremists,4
Algeria,1991-12-26T00:00:00Z,3,0,Police,Police,1,Opposition Leaders,Opposition leader,3
Afghanistan,2004-09-10T00:00:00Z,1,1,Iraqi Insurgents,Insurgents,4,Party Members,Politician,3
Algeria,1995-11-16T00:00:00Z,0,0,Police,Police,1,Opposition Party,Opposition party,3
Kenya,2007-12-27T00:00:00Z,1,1,Party Supporters,ODM supporters,2,Party Supporters,Amagoro supporters,2
Algeria,1995-11-16T00:00:00Z,1,1,Police,Police,1,Opposition Party,Opposition party member,3
Algeria,1999-04-15T00:00:00Z,7,0,Police,Police,1,Protestors,Protestors,2
Yemen,2012-02-21T00:00:00Z,1,1,Al-Qaeda,Al-Qaida,4,Election Officials,Electoral officials,1
Iraq,2005-01-30T00:00:00Z,1,1,Al-Qaeda,al-Qaida,4,Government,government,1
Lebanon,2005-05-28T00:00:00Z,0,0,Party Supporters,Hezbollah supporters,2,United States,American influence,5
Afghanistan,2010-09-18T00:00:00Z,1,1,Iraqi Insurgents,Insurgents,4,Military,second-in-command of security,1
Iraq,2005-01-30T00:00:00Z,1,1,United States,US forces,5,Al-Qaeda,Al-Qaeda,4
Yemen,2012-02-21T00:00:00Z,1,1,Al-Qaeda,Al-Qaida,4,Military,Soldiers,1
Algeria,2002-05-30T00:00:00Z,7,1,Police,Police,1,Protestors,Protestors,2
Afghanistan,2010-09-18T00:00:00Z,1,1,Iraqi Insurgents,Insurgents,4,Military,Security guards,1
Afghanistan,2010-09-18T00:00:00Z,1,1,Iraqi Insurgents,Insurgents,4,Government,Supreme Court clerks,1
Afghanistan,2004-09-10T00:00:00Z,1,1,Iraqi Insurgents,Insurgents,4,United Nations,U.N. Workers,5
Afghanistan,2004-09-10T00:00:00Z,4,1,Iraqi Insurgents,Insurgents,4,United Nations,UN election workers,5
Afghanistan,2005-09-18T00:00:00Z,4,1,Iraqi Insurgents,Insurgents,4,United Nations,UN election workers,5
Jamaica,2007-09-03T00:00:00Z,1,1,Civilians,"Alleged ""Political Thugs""",4,Property,Roads,5
Nigeria,2003-04-12T00:00:00Z,1,1,Civilians,Alleged friend of governor,2,Party Youth,ANPP youth leader,3
Venezuela,2004-08-15T00:00:00Z,1,1,Opposition Supporters,Chavez opponents,2,Civilians,civilian,2
South Africa,1999-06-02T00:00:00Z,1,1,Party Supporters,UDM Supporters,2,Party Leaders,ANC leader,3
Afghanistan,2004-09-10T00:00:00Z,1,1,Iraqi Insurgents,Insurgents,4,United Nations,UN members,5
South Africa,1999-06-02T00:00:00Z,1,1,Party Supporters,UDM Supporters,2,Government Leader,ANC leaders,1
Afghanistan,2004-09-10T00:00:00Z,1,1,Iraqi Insurgents,Insurgents,4,United Nations,UN vehicle,5
Afghanistan,2005-09-18T00:00:00Z,1,1,Iraqi Insurgents,Insurgents,4,United Nations,UN workers,5
South Africa,1994-04-26T00:00:00Z,2,1,Party Supporters,Inkatha Freedom Party supporters,2,Party Members,ANC members,3
Afghanistan,2004-09-10T00:00:00Z,61,1,Iraqi Insurgents,Insurgents,4,United States,US-NATO Coalition Forces,5
Afghanistan,2005-09-18T00:00:00Z,61,1,Iraqi Insurgents,Insurgents,4,United States,US-NATO Coalition Forces,5
Afghanistan,2005-09-18T00:00:00Z,1,1,Iraqi Insurgents,Insurgents,4,United States,US-NATO coalition forces,5
Afghanistan,2009-08-20T00:00:00Z,61,1,Iraqi Insurgents,Insurgents,4,United States,US-NATO Coalition Forces,5
Kenya,2007-12-27T00:00:00Z,1,1,Civilians,Angry crowd,NA,Civilians,Citizens,2
South Africa,1999-06-02T00:00:00Z,1,1,Party Supporters,IFP supporters,3,Party Members,ANC politician,3
Kenya,1997-12-29T00:00:00Z,0,0,Civilians,Angry crowd,2,Election Officials,Election officials,1
South Africa,1994-04-26T00:00:00Z,1,1,Party Members,IFP members,3,Party Leaders,ANC president,3
