country,year,elect_vio,ActorNameNew,ActorTypeNew,civ_deaths,l_gdppc,l_pop,indep_jud,opposition_ban,reports_fraud,elect_monitors,govt_intimidation,elect_boycott,cso_idx,elect_idx,corrupt_jud,peaceful_assemb,polity,phys_int,civ_violence,lag_ev,lag_civ_deaths,lag_civ_violence
Egypt,2010,1,Civilians,2,NA,7.827947204963407,18.284315774824844,NA,1,1,0,-1.861,-1.94,0.245,0.061,-0.691,-1.788,-3,3,50,1,NA,50
Kyrgyzstan,2010,1,Civilians,2,NA,6.779964832822661,15.510740771283258,NA,NA,NA,NA,-0.822,0.449,0.639,0.233,-1.304,-0.472,NA,NA,NA,1,NA,NA
Kyrgyzstan,2010,1,Civilians,2,NA,6.779964832822661,15.510740771283258,NA,NA,NA,NA,-0.822,0.449,0.639,0.233,-1.304,-0.472,NA,NA,NA,1,NA,NA
Kenya,2007,1,Civilians,2,123,6.733629999012196,17.454064486093824,5,0,0,1,-0.86,0.302,0.831,0.394,-0.766,2.032,7,3,153,0,123,153
Kenya,2007,1,Civilians,2,123,6.733629999012196,17.454064486093824,5,1,1,1,-0.86,0.302,0.831,0.394,-0.766,2.032,7,3,153,1,123,153
Kenya,2007,1,Civilians,2,123,6.733629999012196,17.454064486093824,5,0,0,1,-0.86,0.302,0.831,0.394,-0.766,2.032,7,3,153,1,123,153
Kenya,2007,1,Civilians,2,123,6.733629999012196,17.454064486093824,5,1,1,1,-0.86,0.302,0.831,0.394,-0.766,2.032,7,3,153,1,123,153
Iran,2000,1,Civilians,2,1,NA,NA,NA,1,1,0,-0.194,-0.037,0.482,0.431,-0.591,-0.533,3,1,NA,1,75,NA
Iran,2000,1,Civilians,2,1,NA,NA,NA,1,0,0,-0.194,-0.037,0.482,0.431,-0.591,-0.533,3,1,NA,1,1,NA
Bangladesh,1996,0,Civilians,2,33,5.959418677342371,18.60197567394532,NA,0,1,1,0.473,-0.228,0.729,0.532,-1.406,1.63,6,3,NA,1,33,NA
Bangladesh,1996,0,Civilians,2,33,5.959418677342371,18.60197567394532,NA,0,0,1,0.473,-0.228,0.729,0.532,-1.406,1.63,6,3,NA,0,33,NA
Iran,2001,1,Civilians,2,NA,NA,NA,NA,1,0,0,-0.193,-0.038,0.482,0.452,-0.591,-0.533,3,1,NA,1,1,NA
Iraq,2005,1,Civilians,2,886,7.462024416198779,17.17236182602,2,0,1,1,0.274,-1.744,0.548,0.106,-0.363,-0.176,NA,1,NA,0,518,NA
Iraq,2005,1,Civilians,2,886,7.462024416198779,17.17236182602,2,0,1,1,0.274,-1.744,0.548,0.106,-0.363,-0.176,NA,1,NA,1,886,NA
Uganda,1996,0,Civilians,2,612,5.650581409010553,16.871847311955392,NA,0,1,1,-0.494,-0.232,0.882,0.346,-1.819,0.517,-4,2,NA,1,61,47
Uganda,1996,0,Civilians,2,612,5.650581409010553,16.871847311955392,NA,0,0,1,-0.494,-0.232,0.882,0.346,-1.819,0.517,-4,2,NA,0,612,NA
Uganda,2006,1,Civilians,2,49,5.848657297854823,17.174955894687777,NA,1,1,1,-1.842,-0.346,0.801,0.173,-1.038,-0.743,-1,1,146,0,612,NA
Uganda,2006,1,Civilians,2,49,5.848657297854823,17.174955894687777,NA,1,1,1,-1.842,-0.346,0.801,0.173,-1.038,-0.743,-1,1,146,1,49,146
Kyrgyzstan,2005,1,Civilians,2,NA,6.166577118933976,15.456950886523869,3,NA,NA,NA,-0.983,0.358,0.472,0.178,-1.201,-1.013,3,NA,NA,1,NA,NA
Kenya,2002,0,Civilians,2,13,5.994192283495239,17.305323731631457,NA,0,NA,1,-0.838,1.318,0.777,0.245,-1.614,1.903,8,2,89,1,123,153
Kenya,2002,0,Civilians,2,13,5.994192283495239,17.305323731631457,NA,0,NA,1,-0.838,1.318,0.777,0.245,-1.614,1.903,8,2,89,0,13,89
Egypt,2011,1,Civilians,2,NA,7.880661679513979,18.30639220293122,4,0,0,1,-1.725,-1.923,0.364,0.044,-0.691,-1.397,-2,0,73,1,NA,50
Egypt,2011,1,Civilians,2,NA,7.880661679513979,18.30639220293122,4,0,0,1,-1.725,-1.923,0.364,0.044,-0.691,-1.397,-2,0,73,1,NA,73
Egypt,2011,0,Civilians,2,NA,7.880661679513979,18.30639220293122,4,0,0,1,-1.725,-1.923,0.364,0.044,-0.691,-1.397,-2,0,73,1,NA,73
Egypt,2011,0,Civilians,2,NA,7.880661679513979,18.30639220293122,4,0,0,1,-1.725,-1.923,0.364,0.044,-0.691,-1.397,-2,0,73,0,NA,73
Algeria,2002,0,Civilians,2,519,7.492655066545325,17.269448892317534,NA,0,1,0,0.248,-1.021,0.347,0.267,-0.551,0.087,-3,2,73,0,23,12
Algeria,2002,1,Civilians,2,519,7.492655066545325,17.269448892317534,NA,0,1,0,0.248,-1.021,0.347,0.267,-0.551,0.087,-3,2,73,1,519,73
Sri Lanka,2010,0,Civilians,2,NA,7.970372411724096,16.824244837903137,NA,0,1,1,-1.183,-0.483,0.533,0.513,0.64,0.808,3,1,40,1,NA,40
Sri Lanka,2010,0,Civilians,2,NA,7.970372411724096,16.824244837903137,NA,0,1,1,-1.183,-0.483,0.533,0.513,0.64,0.808,3,1,40,0,NA,40
Sri Lanka,2010,0,Civilians,2,NA,7.970372411724096,16.824244837903137,NA,0,1,1,-1.183,-0.483,0.533,0.513,0.64,0.808,3,1,40,0,NA,40
Guyana,1992,1,Civilians,2,NA,6.217487557845077,13.521136812794335,NA,0,NA,1,-1.131,1.194,0.646,0.219,0.84,1.522,6,7,NA,1,NA,NA
Bulgaria,2001,0,Civilians,2,NA,7.479250813297578,15.896094197202334,NA,0,NA,1,1.873,1.13,0.739,0.786,0.449,1.981,9,5,NA,0,NA,NA
Bulgaria,2001,0,Civilians,2,NA,7.479250813297578,15.896094197202334,NA,0,NA,1,1.873,1.13,0.739,0.786,0.449,1.981,9,5,NA,0,NA,NA
Bulgaria,2001,0,Civilians,2,NA,7.479250813297578,15.896094197202334,NA,0,NA,1,1.873,1.13,0.739,0.786,0.449,1.981,9,5,NA,0,NA,NA
Bolivia,2005,0,Civilians,2,NA,NA,NA,NA,0,NA,1,1.133,0.903,0.852,0.85,-1.341,1.25,8,6,NA,1,NA,NA
